OBJECTID,VACCINATION_DATE,County,First Dose,Second Dose,Single Dose,At Least One Vaccine,Fully Vaccinated
1,2020/12/23 15:00:00+00,0,1,0,0,1,0
2,2021/01/04 15:00:00+00,0,2,0,0,2,0
3,2021/01/10 15:00:00+00,0,3,0,0,3,0
4,2021/01/11 15:00:00+00,0,3,1,0,3,1
5,2021/01/13 15:00:00+00,0,4,1,0,4,1
6,2021/01/19 15:00:00+00,0,6,1,0,6,1
7,2021/01/22 15:00:00+00,0,7,1,0,7,1
8,2021/01/27 15:00:00+00,0,7,2,0,7,2
9,2021/01/29 15:00:00+00,0,8,2,0,8,2
10,2021/02/05 15:00:00+00,0,9,2,0,9,2
11,2021/02/06 15:00:00+00,0,10,2,0,10,2
12,2021/02/09 15:00:00+00,0,10,4,0,10,4
13,2021/02/10 15:00:00+00,0,10,5,0,10,5
14,2021/02/11 15:00:00+00,0,11,5,0,11,5
15,2021/02/13 15:00:00+00,0,12,5,0,12,5
16,2021/02/16 15:00:00+00,0,12,6,0,12,6
17,2021/02/19 15:00:00+00,0,12,8,0,12,8
18,2021/02/23 15:00:00+00,0,13,8,0,13,8
19,2021/03/05 15:00:00+00,0,13,9,0,13,9
20,2021/03/06 15:00:00+00,0,14,10,0,14,10
21,2021/03/08 15:00:00+00,0,15,10,0,15,10
22,2021/03/11 15:00:00+00,0,15,11,0,15,11
23,2021/03/12 15:00:00+00,0,16,11,0,16,11
24,2021/03/14 15:00:00+00,0,17,11,0,17,11
25,2021/03/15 15:00:00+00,0,17,12,0,17,12
26,2021/03/18 15:00:00+00,0,18,12,0,18,12
27,2021/03/19 15:00:00+00,0,20,12,0,20,12
28,2021/03/21 15:00:00+00,0,21,12,0,21,12
29,2021/03/23 15:00:00+00,0,22,12,0,22,12
30,2021/03/27 15:00:00+00,0,22,13,0,22,13
31,2021/03/29 15:00:00+00,0,23,14,0,23,14
32,2021/03/30 15:00:00+00,0,26,14,0,26,14
33,2021/03/31 15:00:00+00,0,27,14,0,27,14
34,2021/04/06 15:00:00+00,0,27,15,0,27,15
35,2021/04/07 15:00:00+00,0,28,15,0,28,15
36,2020/12/18 15:00:00+00,Allegany,4,0,0,4,0
37,2020/12/21 15:00:00+00,Allegany,27,0,0,27,0
38,2020/12/22 15:00:00+00,Allegany,81,0,0,81,0
39,2020/12/23 15:00:00+00,Allegany,196,0,0,196,0
40,2020/12/27 15:00:00+00,Allegany,197,0,0,197,0
41,2020/12/28 15:00:00+00,Allegany,400,0,0,400,0
42,2020/12/29 15:00:00+00,Allegany,556,0,0,556,0
43,2020/12/30 15:00:00+00,Allegany,777,0,0,777,0
44,2020/12/31 15:00:00+00,Allegany,779,0,0,779,0
45,2021/01/04 15:00:00+00,Allegany,948,0,0,948,0
46,2021/01/05 15:00:00+00,Allegany,1108,0,0,1108,0
47,2021/01/06 15:00:00+00,Allegany,1300,0,0,1300,0
48,2021/01/07 15:00:00+00,Allegany,1547,0,0,1547,0
49,2021/01/08 15:00:00+00,Allegany,1652,5,0,1652,5
50,2021/01/09 15:00:00+00,Allegany,1671,5,0,1671,5
51,2021/01/10 15:00:00+00,Allegany,1672,5,0,1672,5
52,2021/01/11 15:00:00+00,Allegany,1824,7,0,1824,7
53,2021/01/12 15:00:00+00,Allegany,2195,9,0,2195,9
54,2021/01/13 15:00:00+00,Allegany,2402,12,0,2402,12
55,2021/01/14 15:00:00+00,Allegany,2730,14,0,2730,14
56,2021/01/15 15:00:00+00,Allegany,3041,14,0,3041,14
57,2021/01/16 15:00:00+00,Allegany,3048,14,0,3048,14
58,2021/01/17 15:00:00+00,Allegany,3049,14,0,3049,14
59,2021/01/18 15:00:00+00,Allegany,3049,32,0,3049,32
60,2021/01/19 15:00:00+00,Allegany,3367,116,0,3367,116
61,2021/01/20 15:00:00+00,Allegany,3673,278,0,3673,278
62,2021/01/21 15:00:00+00,Allegany,4335,282,0,4335,282
63,2021/01/22 15:00:00+00,Allegany,4713,286,0,4713,286
64,2021/01/23 15:00:00+00,Allegany,4779,287,0,4779,287
65,2021/01/24 15:00:00+00,Allegany,4811,289,0,4811,289
66,2021/01/25 15:00:00+00,Allegany,5143,488,0,5143,488
67,2021/01/26 15:00:00+00,Allegany,5213,582,0,5213,582
68,2021/01/27 15:00:00+00,Allegany,5629,838,0,5629,838
69,2021/01/28 15:00:00+00,Allegany,6455,843,0,6455,843
70,2021/01/29 15:00:00+00,Allegany,7316,873,0,7316,873
71,2021/01/30 15:00:00+00,Allegany,7321,873,0,7321,873
72,2021/01/31 15:00:00+00,Allegany,7322,874,0,7322,874
73,2021/02/01 15:00:00+00,Allegany,7351,979,0,7351,979
74,2021/02/02 15:00:00+00,Allegany,7744,1279,0,7744,1279
75,2021/02/03 15:00:00+00,Allegany,7793,1471,0,7793,1471
76,2021/02/04 15:00:00+00,Allegany,7920,1756,0,7920,1756
77,2021/02/05 15:00:00+00,Allegany,8117,1856,0,8117,1856
78,2021/02/06 15:00:00+00,Allegany,8123,1858,0,8123,1858
79,2021/02/07 15:00:00+00,Allegany,8126,1858,0,8126,1858
80,2021/02/08 15:00:00+00,Allegany,8185,1985,0,8185,1985
81,2021/02/09 15:00:00+00,Allegany,8487,2141,0,8487,2141
82,2021/02/10 15:00:00+00,Allegany,8637,2343,0,8637,2343
83,2021/02/11 15:00:00+00,Allegany,8721,2347,0,8721,2347
84,2021/02/12 15:00:00+00,Allegany,9058,2881,0,9058,2881
85,2021/02/13 15:00:00+00,Allegany,9111,2950,0,9111,2950
86,2021/02/14 15:00:00+00,Allegany,9116,2968,0,9116,2968
87,2021/02/15 15:00:00+00,Allegany,9198,2999,0,9198,2999
88,2021/02/16 15:00:00+00,Allegany,9319,3290,0,9319,3290
89,2021/02/17 15:00:00+00,Allegany,9380,4204,0,9380,4204
90,2021/02/18 15:00:00+00,Allegany,9435,4290,0,9435,4290
91,2021/02/19 15:00:00+00,Allegany,9496,5290,0,9496,5290
92,2021/02/20 15:00:00+00,Allegany,9512,5293,0,9512,5293
93,2021/02/21 15:00:00+00,Allegany,9543,5295,0,9543,5295
94,2021/02/22 15:00:00+00,Allegany,9717,5948,0,9717,5948
95,2021/02/23 15:00:00+00,Allegany,10051,5995,0,10051,5995
96,2021/02/24 15:00:00+00,Allegany,10136,6385,0,10136,6385
97,2021/02/25 15:00:00+00,Allegany,10232,6760,0,10232,6760
98,2021/02/26 15:00:00+00,Allegany,10288,7171,0,10288,7171
99,2021/02/27 15:00:00+00,Allegany,10317,7171,0,10317,7171
100,2021/02/28 15:00:00+00,Allegany,10424,7186,0,10424,7186
101,2021/03/01 15:00:00+00,Allegany,10481,7217,0,10481,7217
102,2021/03/02 15:00:00+00,Allegany,10625,7762,0,10625,7762
103,2021/03/03 15:00:00+00,Allegany,10722,7790,0,10722,7790
104,2021/03/04 15:00:00+00,Allegany,11264,7918,0,11264,7918
105,2021/03/05 15:00:00+00,Allegany,11750,8251,313,12063,8564
106,2021/03/06 15:00:00+00,Allegany,11772,8256,315,12087,8571
107,2021/03/07 15:00:00+00,Allegany,11815,8279,317,12132,8596
108,2021/03/08 15:00:00+00,Allegany,11894,8292,320,12214,8612
109,2021/03/09 15:00:00+00,Allegany,12074,8355,343,12417,8698
110,2021/03/10 15:00:00+00,Allegany,12207,8471,344,12551,8815
111,2021/03/11 15:00:00+00,Allegany,13253,8568,345,13598,8913
112,2021/03/12 15:00:00+00,Allegany,13727,8741,347,14074,9088
113,2021/03/13 15:00:00+00,Allegany,13741,8761,348,14089,9109
114,2021/03/14 15:00:00+00,Allegany,13749,8804,348,14097,9152
115,2021/03/15 15:00:00+00,Allegany,13830,8847,348,14178,9195
116,2021/03/16 15:00:00+00,Allegany,13908,8953,399,14307,9352
117,2021/03/17 15:00:00+00,Allegany,13961,8996,399,14360,9395
118,2021/03/18 15:00:00+00,Allegany,14780,9030,432,15212,9462
119,2021/03/19 15:00:00+00,Allegany,15276,9057,432,15708,9489
120,2021/03/20 15:00:00+00,Allegany,15289,9059,435,15724,9494
