OBJECTID,VACCINATION_DATE,County,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
1,1971/02/27 15:00:00+00,Carroll,1,1,0,0
2,2012/01/26 15:00:00+00,Queen Anne's,1,1,0,0
3,2012/02/02 15:00:00+00,Unknown,1,1,0,0
4,2012/02/03 15:00:00+00,Baltimore,1,1,0,0
5,2019/02/01 15:00:00+00,Washington,1,1,0,0
6,2020/01/01 15:00:00+00,Unknown,2,3,0,0
7,2020/01/01 15:00:00+00,Wicomico,1,1,0,0
8,2020/01/03 15:00:00+00,Montgomery,1,1,0,0
9,2020/01/04 15:00:00+00,Montgomery,1,2,0,0
10,2020/01/05 15:00:00+00,Allegany,1,1,0,0
11,2020/01/05 15:00:00+00,Montgomery,1,3,0,0
12,2020/01/06 15:00:00+00,Carroll,1,2,0,0
13,2020/01/06 15:00:00+00,Montgomery,1,4,0,0
14,2020/01/15 15:00:00+00,Anne Arundel,1,1,0,0
15,2020/01/16 15:00:00+00,Unknown,1,4,0,0
16,2020/01/17 15:00:00+00,Montgomery,1,5,0,0
17,2020/01/21 15:00:00+00,Unknown,1,5,0,0
18,2020/01/22 15:00:00+00,Frederick,1,1,0,0
19,2020/01/22 15:00:00+00,Montgomery,1,6,0,0
20,2020/01/23 15:00:00+00,Unknown,1,6,0,0
21,2020/01/27 15:00:00+00,Montgomery,1,7,0,0
22,2020/01/30 15:00:00+00,Prince George's,1,1,0,0
23,2020/01/30 15:00:00+00,Wicomico,0,1,1,1
24,2020/01/31 15:00:00+00,Montgomery,1,8,0,0
25,2020/02/01 15:00:00+00,Anne Arundel,0,1,1,1
26,2020/02/01 15:00:00+00,Washington,1,2,0,0
27,2020/02/02 15:00:00+00,Allegany,0,1,1,1
28,2020/02/03 15:00:00+00,Montgomery,1,9,0,0
29,2020/02/04 15:00:00+00,Montgomery,0,9,1,1
30,2020/02/06 15:00:00+00,Dorchester,1,1,0,0
31,2020/02/07 15:00:00+00,Unknown,1,7,0,0
32,2020/02/16 15:00:00+00,Unknown,1,8,0,0
33,2020/02/19 15:00:00+00,Unknown,0,8,1,1
34,2020/02/23 15:00:00+00,Baltimore,1,2,0,0
35,2020/02/23 15:00:00+00,Unknown,1,9,0,1
36,2020/02/24 15:00:00+00,Baltimore City,1,1,0,0
37,2020/02/24 15:00:00+00,Calvert,1,1,0,0
38,2020/02/24 15:00:00+00,Montgomery,1,10,0,1
39,2020/03/01 15:00:00+00,Cecil,1,1,0,0
40,2020/03/01 15:00:00+00,Montgomery,1,11,0,1
41,2020/03/17 15:00:00+00,Baltimore,1,3,0,0
42,2020/04/01 15:00:00+00,Montgomery,1,12,0,1
43,2020/05/01 15:00:00+00,Montgomery,0,12,1,2
44,2020/08/04 15:00:00+00,Montgomery,1,13,0,2
45,2020/08/10 15:00:00+00,Harford,1,1,0,0
46,2020/08/14 15:00:00+00,Frederick,1,2,0,0
47,2020/08/14 15:00:00+00,Montgomery,1,14,0,2
48,2020/08/21 15:00:00+00,Frederick,1,3,0,0
49,2020/08/27 15:00:00+00,Frederick,1,4,0,0
50,2020/08/31 15:00:00+00,Frederick,1,5,0,0
51,2020/08/31 15:00:00+00,Harford,0,1,1,1
52,2020/09/01 15:00:00+00,Cecil,1,2,0,0
53,2020/09/03 15:00:00+00,Prince George's,1,2,0,0
54,2020/09/04 15:00:00+00,Anne Arundel,1,2,0,1
55,2020/09/04 15:00:00+00,Baltimore,1,4,0,0
56,2020/09/05 15:00:00+00,Baltimore,1,5,0,0
57,2020/09/08 15:00:00+00,Baltimore,1,6,0,0
58,2020/09/13 15:00:00+00,Anne Arundel,1,3,0,1
59,2020/09/15 15:00:00+00,Frederick,0,5,1,1
60,2020/09/15 15:00:00+00,Montgomery,0,14,1,3
61,2020/09/16 15:00:00+00,Montgomery,0,14,1,4
62,2020/09/19 15:00:00+00,Frederick,1,6,0,1
63,2020/09/19 15:00:00+00,Howard,1,1,0,0
64,2020/09/20 15:00:00+00,Baltimore,1,7,0,0
65,2020/09/21 15:00:00+00,Prince George's,1,3,0,0
66,2020/09/22 15:00:00+00,Unknown,1,10,0,1
