"County","Population"
"Allegany County","70416"
"Anne Arundel County","579234"
"Baltimore County","827370"
"Baltimore City","593490"
"Calvert County","92525"
"Caroline County","33406"
"Carroll County","168447"
"Cecil County","102855"
"Charles County","163257"
"Dorchester County","31929"
"Frederick County","259547"
"Garrett County","29014"
"Harford County","255441"
"Howard County","325690"
"Kent County","19422"
"Montgomery County","1050688"
"Prince George's County","909327"
"Queen Anne's County","50381"
"Somerset County","25616"
"St. Mary's County","113510"
"Talbot County","37181"
"Washington County","151049"
"Wicomico County","103609"
"Worcester County","52276"
